,states
0,Colorado
1,Connecticut
2,Delaware
3,Indiana
4,Iowa
5,Maine
6,Maryland
7,Massachusetts
8,Mississippi
9,Missouri
10,New Hampshire
11,New Jersey
12,New York
13,North Carolina
14,Ohio
15,Oklahoma
16,Pennsylvania
17,Rhode Island
18,Tennessee
19,Vermont
